"probeID" "Entrez"
"6550068" "6550068" "IL22RA2"
"1850435" "1850435" "GYLTL1B"
"2570768" "2570768" "MLX"
"1940309" "1940309" NA
"4810519" "4810519" NA
"4060400" "4060400" NA
"6200195" "6200195" "WDR34"
"6020358" "6020358" "LOC388882"
"4260382" "4260382" "LOC651609"
"2360246" "2360246" "PTPRA"
"2140088" "2140088" "MYO5B"
"4880280" "4880280" NA
"5960014" "5960014" "C15orf57"
"6560092" "6560092" NA
"1410722" "1410722" "LOC152084"
"5360491" "5360491" NA
"4730369" "4730369" "BTG1"
"2940075" "2940075" "STRADB"
"5080632" "5080632" "FBXO11"
"290037" "290037" "FBXO11"
"2710441" "2710441" "LOC643040"
"6420035" "6420035" "INPP4A"
"2710544" "2710544" NA
"3170491" "3170491" "PDIA5"
"3060040" "3060040" "PABPC1"
"780100" "780100" "F7"
"3190280" "3190280" "F7"
"6650170" "6650170" "F7"
"7100138" "7100138" NA
"5310176" "5310176" "LOC643799"
"6860242" "6860242" NA
"4780070" "4780070" NA
"4250341" "4250341" "LOC650155"
"6370494" "6370494" "EIF2B4"
"670594" "670594" "C2"
"6130110" "6130110" "LOC255649"
"6060433" "6060433" "RPS6KA4"
"4780609" "4780609" "CHRM4"
"7150537" "7150537" "GGT7"
"2140725" "2140725" "CXorf48"
"6620431" "6620431" "GAS2L1"
"2230762" "2230762" NA
"610537" "610537" "C21orf42"
"4780347" "4780347" "LCTL"
"20215" "20215" NA
"1500736" "1500736" NA
"4590086" "4590086" "LOC643792"
"4260349" "4260349" "LOC645396"
"670136" "670136" "FLJ38717"
"5340703" "5340703" "KRCC1"
"2370538" "2370538" "KRCC1"
"430431" "430431" "TRIP10"
"1090056" "1090056" "FGF13"
"4830239" "4830239" "ITPKB"
"4900575" "4900575" "PTRH2"
"3140221" "3140221" "LOC643266"
"3060626" "3060626" NA
"2070066" "2070066" NA
"10358" "10358" "SPN"
"4220373" "4220373" "SPN"
"6130270" "6130270" NA
"870661" "870661" NA
"6960670" "6960670" "LOC641957"
"1430164" "1430164" "LOC644962"
"1170730" "1170730" "MYO18A"
"270093" "270093" "MYO18A"
"360441" "360441" "LOC642622"
"2600709" "2600709" "LOC641834"
"6330402" "6330402" NA
"70047" "70047" NA
"3780465" "3780465" "SMARCA5"
"2340445" "2340445" "MBD1"
"4640364" "4640364" NA
"2350682" "2350682" "FLJ43980"
"6510541" "6510541" NA
"1940561" "1940561" "CGRRF1"
"3850209" "3850209" "LOC644962"
"4830482" "4830482" "LOC649292"
"4260692" "4260692" "HOXA2"
"2060471" "2060471" "HOXA2"
"5900685" "5900685" "ADD1"
"2710328" "2710328" NA
"4200465" "4200465" "DRGX"
"650017" "650017" "LOC653605"
"4890392" "4890392" NA
"1570411" "1570411" NA
"2120600" "2120600" "GABRG2"
"2630619" "2630619" "RNF20"
"5080044" "5080044" "ENTPD3"
"4850504" "4850504" "ENTPD3"
"6900682" "6900682" "BVES"
"5900458" "5900458" "OR52E4"
"3450114" "3450114" "FAM69B"
"4290152" "4290152" "FAM69B"
"6550292" "6550292" "RBPJL"
"7330097" "7330097" "ADARB1"
"2320228" "2320228" "ADARB1"
"580500" "580500" "SLC16A8"
"3190114" "3190114" NA
"5270661" "5270661" NA
"4250181" "4250181" "EXOC5"
"1580044" "1580044" "GEN1"
"2810408" "2810408" "GEN1"
