"Ensembl" "Entrez"
"26496" "ENSG00000282740" "RP5-1182A14.7"
"26501" "ENSG00000058453" "CROCC"
"26731" "ENSG00000227684" "CROCCP4"
"26740" "ENSG00000207389" "RNU1-4"
"26743" "ENSG00000186715" "MST1L"
"26796" "ENSG00000223643" "RP11-108M9.1"
"26806" "ENSG00000230239" "RP11-108M9.2"
"26811" "ENSG00000263811" "MIR3675"
"26814" "ENSG00000228549" "RP11-108M9.3"
"26830" "ENSG00000277234" "RNU1-5P"
"26833" "ENSG00000238142" "RP11-108M9.4"
"26843" "ENSG00000235241" "RP11-108M9.5"
"26846" "ENSG00000207005" "RNU1-2"
"26849" "ENSG00000272426" "RP11-108M9.6"
"26852" "ENSG00000117122" "MFAP2"
"26922" "ENSG00000226526" "RP1-37C10.3"
"26926" "ENSG00000159363" "ATP13A2"
"27282" "ENSG00000117118" "SDHB"
"27356" "ENSG00000117115" "PADI2"
"27434" "ENSG00000204362" "RP11-380J14.1"
"27444" "ENSG00000282843" "RP11-380J14.4"
"27451" "ENSG00000142623" "PADI1"
"27497" "ENSG00000142619" "PADI3"
"27535" "ENSG00000266634" "MIR3972"
"27538" "ENSG00000159339" "PADI4"
"27603" "ENSG00000280226" "AC004824.1"
"27609" "ENSG00000276747" "PADI6"
"27647" "ENSG00000179051" "RCC2"
"27711" "ENSG00000227751" "RP1-20B21.4"
"27715" "ENSG00000074964" "ARHGEF10L"
"27955" "ENSG00000236648" "RP11-473A10.2"
"27961" "ENSG00000117148" "ACTL8"
"27982" "ENSG00000261781" "RP11-174G17.2"
"27987" "ENSG00000117154" "IGSF21"
"28030" "ENSG00000280222" "RP11-174G17.3"
"28033" "ENSG00000230035" "RP11-174G17"
"28039" "ENSG00000225387" "RP11-422P22.1"
"28043" "ENSG00000179023" "KLHDC7A"
"28050" "ENSG00000235282" "DYNLL1P3"
"28053" "ENSG00000225478" "RP1-8B22.2"
"28056" "ENSG00000009709" "PAX7"
"28122" "ENSG00000179002" "TAS1R2"
"28139" "ENSG00000255275" "RP13-279N23.2"
"28197" "ENSG00000159423" "ALDH4A1"
