"probeID" "Entrez"
"1044" "1044" "SLC35F2"
"1045" "1045" "LARP7"
"1046" "1046" ""
"1047" "1047" ""
"1048" "1048" "TUBB2A"
"1049" "1049" "KCTD6"
"1050" "1050" "FANK1"
"1051" "1051" "HOXA10"
"1052" "1052" "CAMK4"
"1053" "1053" "SHH"
"1054" "1054" "VWF"
"1055" "1055" "DYNC2LI1"
"1056" "1056" ""
"1057" "1057" "POU6F2"
"1058" "1058" "KRT79"
"1059" "1059" "SLC23A3"
"1060" "1060" "PMS2CL"
"1061" "1061" "GNGT1"
"1062" "1062" "STX8"
"1063" "1063" "CAB39L"
"1064" "1064" "DNAJB6"
"1065" "1065" ""
"1066" "1066" ""
"1067" "1067" "PTPLAD1"
"1068" "1068" ""
"1069" "1069" ""
"1070" "1070" "TSPAN9"
"1071" "1071" ""
"1072" "1072" "DNAJB14"
"1073" "1073" "IL31RA"
"1074" "1074" "CD44"
"1075" "1075" "CRISPLD1"
"1076" "1076" "KIAA0430"
"1077" "1077" ""
"1078" "1078" "JPH3"
"1079" "1079" "HSP90AA1"
"1080" "1080" "DNHD1"
"1081" "1081" "ATP5J2"
"1082" "1082" "CD40"
"1083" "1083" "SPP1"
"1084" "1084" "AMPH"
"1085" "1085" "RIOK2"
"1086" "1086" "PRR29"
"1087" "1087" "SRRM2"
"1088" "1088" "KRT24"
"1089" "1089" "SF3A1"
"1090" "1090" "ZNF331"
"1091" "1091" "GLCCI1"
"1092" "1092" "TNKS1BP1"
"1093" "1093" "CSF3"
"1094" "1094" "EIF4G1"
"1095" "1095" "BET1"
"1096" "1096" "TECR"
"1097" "1097" "CDC25A"
"1098" "1098" ""
"1099" "1099" "SUV420H1"
"1100" "1100" "CENPE"
"1101" "1101" ""
"1102" "1102" ""
"1103" "1103" ""
"1104" "1104" ""
"1105" "1105" ""
"1106" "1106" ""
"1107" "1107" ""
"1108" "1108" ""
"1109" "1109" ""
"1110" "1110" ""
"1111" "1111" ""
"1112" "1112" "TNFRSF11B"
"1113" "1113" "SPACA5"
"1114" "1114" ""
"1115" "1115" "SEPT7"
"1116" "1116" ""
"1117" "1117" "ETV3L"
"1118" "1118" "GABRQ"
"1119" "1119" ""
"1120" "1120" "SH3RF3"
"1121" "1121" "GPR158"
"1122" "1122" ""
"1123" "1123" "LINC00483"
"1124" "1124" "BRWD3"
"1125" "1125" "SCN3B"
"1126" "1126" "CTSC"
"1127" "1127" ""
"1128" "1128" "QDPR"
"1129" "1129" ""
"1130" "1130" "HFE2"
"1131" "1131" "REST"
"1132" "1132" "GRB2"
"1133" "1133" "JAKMIP2"
"1134" "1134" "COMMD4"
